comparison_family,dataset,comparator,Delta_NMI,Delta_h,Delta_c,Delta_UY,Delta_UZ,Delta_rho_H,PSF_NMI,comparator_NMI,PSF_homogeneity,comparator_homogeneity,PSF_completeness,comparator_completeness,PSF_rho_H,comparator_rho_H
external,Leukemia,RANGE,0.030924972707186152,0.031660778543536564,0.03021713943168744,0.03166077854353644,0.030217139431687468,-0.006386358109702339,0.12531250648530345,0.0943875337781173,0.12931532838925794,0.09765454984572138,0.12155005070043386,0.09133291126874642,1.0638854335648285,1.0702717916745308
external,Leukemia,GPEC,0.015462486353593083,0.01583038927176829,0.015108569715843706,0.015830389271768164,0.015108569715843623,-0.0031931790548511696,0.12531250648530345,0.10985002013171037,0.12931532838925794,0.11348493911748965,0.12155005070043386,0.10644148098459015,1.0638854335648285,1.0670786126196796
external,Caltech101-20,MCLA,-0.01030577643277053,-0.01723167303389944,-0.005653680648607884,-0.017231673033899386,-0.005653680648607939,-0.028112508608095776,0.39952153158308934,0.40982730801585987,0.44679395628202156,0.464025629315921,0.3613119861381277,0.3669656667867356,1.2363862792657614,1.2644987878738572
external,Caltech101-20,HBGF,0.023794914786686494,0.019898294691421514,0.025800787317292184,0.01989829469142146,0.025800787317292184,-0.035986382531149275,0.39952153158308934,0.37572661679640285,0.44679395628202156,0.42689566159060005,0.3613119861381277,0.3355111988208355,1.2363862792657614,1.2723726617969107
external,Caltech101-20,CEHM,0.004293916146746568,0.005888359698457357,0.0031620951653731355,0.005888359698457357,0.0031620951653730245,0.00531715217548423,0.39952153158308934,0.39522761543634277,0.44679395628202156,0.4409055965835642,0.3613119861381277,0.35814989097275457,1.2363862792657614,1.2310691270902772
external,Caltech101-20,YACHT,-0.0035696972061733945,-0.006513407756147338,-0.0015813381955095407,-0.0065134077561473935,-0.0015813381955096517,-0.012841732831455621,0.39952153158308934,0.40309122878926273,0.44679395628202156,0.4533073640381689,0.3613119861381277,0.36289332433363725,1.2363862792657614,1.249228012097217
external,Caltech101-20,RANGE,0.010892543053359682,0.008169661350346968,0.012445798675658315,0.008169661350346913,0.012445798675658315,-0.02084149139539182,0.39952153158308934,0.38862898852972966,0.44679395628202156,0.4386242949316746,0.3613119861381277,0.3488661874624694,1.2363862792657614,1.2572277706611532
external,Caltech101-20,GPEC,0.006436657764692877,0.00976456380080526,0.004125078701503027,0.00976456380080526,0.004125078701503027,0.013019129661591133,0.39952153158308934,0.39308487381839646,0.44679395628202156,0.4370293924812163,0.3613119861381277,0.3571869074366247,1.2363862792657614,1.2233671496041703
external,Leukemia2,MCLA,0.06175182410633723,0.019413487655248807,0.11990991673213441,0.019413487655248862,0.11990991673213452,-0.16137010864894952,0.4674327176160329,0.40568089350969566,0.4104353291057439,0.39102184145049507,0.5428683725243918,0.4229584557922574,0.7554536962201177,0.9168238048690672
external,Leukemia2,HBGF,0.09052618457452583,0.03950478420322118,0.15978630922030118,0.03950478420322112,0.15978630922030118,-0.21271648597093085,0.4674327176160329,0.37690653304150706,0.4104353291057439,0.3709305449025227,0.5428683725243918,0.3830820633040906,0.7554536962201177,0.9681701821910486
external,Leukemia2,CEHM,0.10112576849739513,0.09663432219229179,0.10242026552124389,0.09663432219229173,0.10242026552124389,0.04749650739465994,0.4674327176160329,0.36630694911863776,0.4104353291057439,0.3138010069134521,0.5428683725243918,0.4404481070031479,0.7554536962201177,0.7079571888254578
external,Leukemia2,YACHT,0.1303830739566716,0.07590716372037742,0.20322890867811189,0.07590716372037742,0.20322890867811189,-0.22842519146867823,0.4674327176160329,0.3370496436593613,0.4104353291057439,0.33452816538536645,0.5428683725243918,0.3396394638462799,0.7554536962201177,0.9838788876887959
external,Leukemia2,RANGE,0.1036688515903193,0.04709168913785894,0.17867737350721552,0.04709168913785888,0.17867737350721563,-0.24168799751511727,0.4674327176160329,0.3637638660257136,0.4104353291057439,0.36334363996788493,0.5428683725243918,0.3641909990171763,0.7554536962201177,0.997141693735235
external,Leukemia2,GPEC,0.025645928813133656,0.008444455134276996,0.04923018078699598,0.008444455134277051,0.04923018078699598,-0.07993758122141748,0.4674327176160329,0.44178678880289923,0.4104353291057439,0.4019908739714669,0.5428683725243918,0.4936381917373958,0.7554536962201177,0.8353912774415352
external,Chameleon,MCLA,0.0018181447833072878,0.0019745827610799307,0.0010753535675059184,0.0019745827610799793,0.0010753535675060988,0.010425569006911828,0.0645215350884269,0.06270339030511961,0.05720620697543075,0.05523162421435082,0.07398210604424198,0.07290675247673606,0.7732438292743508,0.7628182602674389
