dataset,method,true_class,class_size,H_Z_given_Y_class,effective_fragments,occupied_predicted_clusters,dominant_predicted_cluster_share,second_largest_predicted_cluster_share
Caltech101-20,PSF-CE,14,45.0,2.112076946667673,8.27940454176634,12.0,0.2888888888888889,0.20000000000000004
Caltech101-20,PSF-CE,15,64.0,1.867407571322234,6.493288246583628,11.0,0.3802083333333333,0.19791666666666666
Caltech101-20,PSF-CE,16,37.0,1.5974252080834273,4.940295800660688,7.0,0.32432432432432434,0.2972972972972973
Caltech101-20,PSF-CE,17,56.0,2.126239323382352,8.395167043170026,11.666666666666666,0.21428571428571427,0.18452380952380953
Caltech101-20,PSF-CE,18,39.0,1.4808865638354582,4.40101286967363,8.0,0.5384615384615384,0.1794871794871795
Caltech101-20,PSF-CE,19,60.0,1.538001474427662,4.686840473896338,8.333333333333334,0.5333333333333333,0.10555555555555556
Caltech101-20,RANGE,0,435.0,1.6898815359488368,5.419198282778439,11.666666666666666,0.31494252873563217,0.29961685823754786
Caltech101-20,RANGE,1,200.0,1.1800724847360937,3.2546960757950747,6.666666666666667,0.535,0.30666666666666664
Caltech101-20,RANGE,2,798.0,2.3199695239064675,10.191874973051165,17.666666666666668,0.15998329156223892,0.14786967418546365
Caltech101-20,RANGE,3,33.0,1.7378919734885943,5.689351734454004,9.666666666666666,0.4545454545454546,0.15151515151515152
Caltech101-20,RANGE,4,98.0,1.9834994659601073,7.2737829392934215,13.333333333333334,0.2755102040816326,0.25510204081632654
Caltech101-20,RANGE,5,50.0,2.000061244463481,7.4075701178403905,13.666666666666666,0.32666666666666666,0.26
Caltech101-20,RANGE,6,123.0,1.3555905706216798,3.909371936176711,6.0,0.3604336043360434,0.28184281842818426
Caltech101-20,RANGE,7,52.0,1.5122566287467116,4.538572041629685,8.666666666666666,0.4871794871794872,0.22435897435897437
Caltech101-20,RANGE,8,67.0,2.0363665788524723,7.6782767980738384,11.333333333333334,0.26865671641791045,0.20895522388059704
Caltech101-20,RANGE,9,34.0,2.0372978191990754,7.693064772332549,9.666666666666666,0.2450980392156863,0.17647058823529413
Caltech101-20,RANGE,10,54.0,2.348589792179189,10.554968745209584,15.0,0.2098765432098765,0.17901234567901234
Caltech101-20,RANGE,11,47.0,1.1046714409228706,3.278511593297393,5.666666666666667,0.5815602836879433,0.19858156028368792
Caltech101-20,RANGE,12,59.0,2.3895791870083625,10.929947205212448,13.333333333333334,0.18644067796610173,0.13559322033898305
Caltech101-20,RANGE,13,35.0,1.7727376782980475,5.894131613430872,8.333333333333334,0.3523809523809524,0.21904761904761905
Caltech101-20,RANGE,14,45.0,2.1806638418864894,8.856202618602858,13.0,0.26666666666666666,0.20000000000000004
Caltech101-20,RANGE,15,64.0,2.2056023307145995,9.128046771036454,13.666666666666666,0.3072916666666667,0.15104166666666666
Caltech101-20,RANGE,16,37.0,1.6708515071095382,5.346098789049911,7.333333333333333,0.31531531531531537,0.26126126126126126
Caltech101-20,RANGE,17,56.0,2.15342921996564,8.618330385577607,12.0,0.23214285714285712,0.17857142857142858
Caltech101-20,RANGE,18,39.0,1.4465061134865789,4.2513192357125655,8.333333333333334,0.5555555555555555,0.1794871794871795
Caltech101-20,RANGE,19,60.0,1.8736091201373846,6.6164727516903445,10.333333333333334,0.39999999999999997,0.13333333333333333
Caltech101-20,YACHT,0,435.0,1.840018746661426,6.331967767909144,11.666666666666666,0.2850574712643678,0.23295019157088123
Caltech101-20,YACHT,1,200.0,1.1608534234642118,3.192704725494585,6.0,0.5416666666666666,0.3033333333333333
Caltech101-20,YACHT,2,798.0,2.2005763736749775,9.059125947420453,16.666666666666668,0.19966583124477863,0.15998329156223892
Caltech101-20,YACHT,3,33.0,1.5898630200589794,4.936555091368298,8.666666666666666,0.5151515151515151,0.16161616161616163
Caltech101-20,YACHT,4,98.0,1.8430538095358244,6.321549021300572,12.333333333333334,0.2993197278911564,0.2653061224489796
Caltech101-20,YACHT,5,50.0,1.9631275824754073,7.165501873418634,12.666666666666666,0.3333333333333333,0.26
Caltech101-20,YACHT,6,123.0,1.195697237787463,3.348110537877521,5.333333333333333,0.45528455284552843,0.2872628726287263
Caltech101-20,YACHT,7,52.0,1.495782536778756,4.474216617537977,8.0,0.4935897435897436,0.23076923076923075
Caltech101-20,YACHT,8,67.0,2.041816426351333,7.748786031925994,11.333333333333334,0.25870646766169153,0.21890547263681592
Caltech101-20,YACHT,9,34.0,1.918200268729544,6.810032569953317,8.666666666666666,0.2745098039215686,0.19607843137254902
Caltech101-20,YACHT,10,54.0,2.2290944239025996,9.404899630514352,13.333333333333334,0.24691358024691357,0.17901234567901234
Caltech101-20,YACHT,11,47.0,0.977658435044963,2.8395857450584834,4.333333333333333,0.5886524822695035,0.24113475177304963
Caltech101-20,YACHT,12,59.0,2.2967367187873937,9.976270118743772,12.0,0.18644067796610173,0.16384180790960454
Caltech101-20,YACHT,13,35.0,1.5873640863059304,4.901891335830027,7.333333333333333,0.3523809523809524,0.27619047619047615
Caltech101-20,YACHT,14,45.0,2.119657259803949,8.359597421118533,12.0,0.2740740740740741,0.2074074074074074
Caltech101-20,YACHT,15,64.0,2.022281687375199,7.6281352301293355,11.333333333333334,0.3125,0.16666666666666666
Caltech101-20,YACHT,16,37.0,1.4972648891446951,4.512897644691672,7.0,0.3873873873873874,0.2972972972972973
Caltech101-20,YACHT,17,56.0,2.0982310525921584,8.167347160275673,11.666666666666666,0.25,0.20238095238095236
Caltech101-20,YACHT,18,39.0,1.465342784320793,4.330491271269647,8.0,0.547008547008547,0.1794871794871795
Caltech101-20,YACHT,19,60.0,1.8529941080116046,6.450719573553404,9.666666666666666,0.38888888888888884,0.15
Chameleon,CEHM,0,456.0,0.695038757928459,2.003786735059098,5.0,0.8179824561403509,0.07675438596491228
Chameleon,CEHM,1,460.0,0.9734345156116625,2.6470200970709423,5.0,0.6913043478260871,0.17391304347826086
Chameleon,CEHM,2,453.0,1.4494616992497438,4.2608202949725,5.0,0.3995584988962472,0.26490066225165565
Chameleon,CEHM,3,521.0,1.218015695629781,3.3804779655087285,5.0,0.417786308381318,0.40243122200895715
Chameleon,CEHM,4,387.0,1.317668204589393,3.734702760302742,5.0,0.39104220499569337,0.32213608957795004
Chameleon,GPEC,0,456.0,1.2283540884496738,3.4158309335344867,5.0,0.44590643274853803,0.375
