cohort,metric,direction,comparator,n_valid_datasets,mean_raw_delta_psf_minus_comparator,median_raw_delta_psf_minus_comparator,mean_directional_advantage,median_directional_advantage,wins,ties,losses,favorable
REVISED_CORE10_NATIVE,Top1CrossMixShare,higher,YACHT,10,0.20469600894319054,0.2757015949500305,0.20469600894319054,0.2757015949500305,7,0,3,True
REVISED_CORE10_NATIVE,Top1CrossMixShare,higher,RANGE,10,0.24384343090151686,0.23079802642492758,0.24384343090151686,0.23079802642492758,8,0,2,True
REVISED_CORE10_NATIVE,Top1CrossMixShare,higher,GPEC,10,0.17954249849076312,0.15206491673630984,0.17954249849076312,0.15206491673630984,8,0,2,True
REVISED_CORE10_NATIVE,Top1PairCapacityShare,higher,MCLA,10,0.11327259591190261,0.09192039494783272,0.11327259591190261,0.09192039494783272,9,0,1,True
REVISED_CORE10_NATIVE,Top1PairCapacityShare,higher,HBGF,10,0.3163311649501591,0.3284530106094766,0.3163311649501591,0.3284530106094766,10,0,0,True
REVISED_CORE10_NATIVE,Top1PairCapacityShare,higher,CEHM,10,-0.03992723228908996,-0.01994477237178363,-0.03992723228908996,-0.01994477237178363,3,1,6,False
REVISED_CORE10_NATIVE,Top1PairCapacityShare,higher,YACHT,10,0.18666222626262052,0.27649423159079395,0.18666222626262052,0.27649423159079395,7,0,3,True
REVISED_CORE10_NATIVE,Top1PairCapacityShare,higher,RANGE,10,0.21559433608114947,0.23061804669757907,0.21559433608114947,0.23061804669757907,9,0,1,True
REVISED_CORE10_NATIVE,Top1PairCapacityShare,higher,GPEC,10,0.13953377794133057,0.09508105139826206,0.13953377794133057,0.09508105139826206,9,0,1,True
REVISED_CORE9_NO_CHAMELEON,homogeneity,higher,MCLA,9,0.013007759102467252,-0.008904265702798647,0.013007759102467252,-0.008904265702798647,4,0,5,False
REVISED_CORE9_NO_CHAMELEON,homogeneity,higher,HBGF,9,0.023784460781902304,0.019898294691421514,0.023784460781902304,0.019898294691421514,6,0,3,True
REVISED_CORE9_NO_CHAMELEON,homogeneity,higher,CEHM,9,0.01342394294445592,0.0036235500538458476,0.01342394294445592,0.0036235500538458476,5,1,3,True
REVISED_CORE9_NO_CHAMELEON,homogeneity,higher,YACHT,9,0.042150542097330664,0.0737875967543554,0.042150542097330664,0.0737875967543554,6,0,3,True
REVISED_CORE9_NO_CHAMELEON,homogeneity,higher,RANGE,9,0.006159565414940251,0.022224175589454886,0.006159565414940251,0.022224175589454886,6,0,3,True
REVISED_CORE9_NO_CHAMELEON,homogeneity,higher,GPEC,9,0.011429227492997037,0.008444455134276996,0.011429227492997037,0.008444455134276996,6,0,3,True
REVISED_CORE9_NO_CHAMELEON,MacroMixEntropy,lower,MCLA,9,-0.10509398223161927,-0.08220532978175149,0.10509398223161927,0.08220532978175149,7,0,2,True
REVISED_CORE9_NO_CHAMELEON,MacroMixEntropy,lower,HBGF,9,-0.13524345604029073,-0.11180116391558925,0.13524345604029073,0.11180116391558925,8,0,1,True
REVISED_CORE9_NO_CHAMELEON,MacroMixEntropy,lower,CEHM,9,0.018325601475811637,0.008261407713201788,-0.018325601475811637,-0.008261407713201788,3,1,5,False
REVISED_CORE9_NO_CHAMELEON,MacroMixEntropy,lower,YACHT,9,-0.13372715265177954,-0.05708472013664344,0.13372715265177954,0.05708472013664344,9,0,0,True
REVISED_CORE9_NO_CHAMELEON,MacroMixEntropy,lower,RANGE,9,-0.10383446426806406,-0.04932567339723637,0.10383446426806406,0.04932567339723637,8,0,1,True
REVISED_CORE9_NO_CHAMELEON,MacroMixEntropy,lower,GPEC,9,-0.07762242780460853,-0.03786023642755676,0.07762242780460853,0.03786023642755676,8,0,1,True
REVISED_CORE9_NO_CHAMELEON,MacroPurity,higher,MCLA,9,0.07007456309975903,0.0747811952795181,0.07007456309975903,0.0747811952795181,7,0,2,True
REVISED_CORE9_NO_CHAMELEON,MacroPurity,higher,HBGF,9,0.09561063007843723,0.09500500152365554,0.09561063007843723,0.09500500152365554,7,0,2,True
REVISED_CORE9_NO_CHAMELEON,MacroPurity,higher,CEHM,9,-0.008388783757763961,-0.0038452154394182925,-0.008388783757763961,-0.0038452154394182925,3,1,5,False
REVISED_CORE9_NO_CHAMELEON,MacroPurity,higher,YACHT,9,0.08818206167564809,0.06114456842605753,0.08818206167564809,0.06114456842605753,8,0,1,True
REVISED_CORE9_NO_CHAMELEON,MacroPurity,higher,RANGE,9,0.05480509899742861,0.06001860665394454,0.05480509899742861,0.06001860665394454,8,0,1,True
REVISED_CORE9_NO_CHAMELEON,MacroPurity,higher,GPEC,9,0.05420636547813614,0.0410484780973015,0.05420636547813614,0.0410484780973015,7,0,2,True
REVISED_CORE9_NO_CHAMELEON,PairMixRate,lower,MCLA,9,0.04371098738913224,0.019167621447357786,-0.04371098738913224,-0.019167621447357786,2,0,7,False
REVISED_CORE9_NO_CHAMELEON,PairMixRate,lower,HBGF,9,0.04532806404533865,0.013009398005653816,-0.04532806404533865,-0.013009398005653816,2,0,7,False
REVISED_CORE9_NO_CHAMELEON,PairMixRate,lower,CEHM,9,-0.016458563287701504,-0.0053823358573419355,0.016458563287701504,0.0053823358573419355,6,1,2,True
REVISED_CORE9_NO_CHAMELEON,PairMixRate,lower,YACHT,9,0.02268612187340398,-0.0009885314366723796,-0.02268612187340398,0.0009885314366723796,5,0,4,False
REVISED_CORE9_NO_CHAMELEON,PairMixRate,lower,RANGE,9,0.05708643821016701,0.03252557686083113,-0.05708643821016701,-0.03252557686083113,3,0,6,False
REVISED_CORE9_NO_CHAMELEON,PairMixRate,lower,GPEC,9,0.0329010941915123,0.004746002815631645,-0.0329010941915123,-0.004746002815631645,2,0,7,False
REVISED_CORE9_NO_CHAMELEON,rho_size_entropy,higher,MCLA,7,0.30531696483739834,0.2915598114936322,0.30531696483739834,0.2915598114936322,5,2,0,True
REVISED_CORE9_NO_CHAMELEON,rho_size_entropy,higher,HBGF,7,0.018157806434263884,0.23914327444424055,0.018157806434263884,0.23914327444424055,5,0,2,True
REVISED_CORE9_NO_CHAMELEON,rho_size_entropy,higher,CEHM,7,8.611447407346524e-05,0.0,8.611447407346524e-05,0.0,2,4,1,False
REVISED_CORE9_NO_CHAMELEON,rho_size_entropy,higher,YACHT,7,0.09207397273875215,0.08996485005971913,0.09207397273875215,0.08996485005971913,5,1,1,True
REVISED_CORE9_NO_CHAMELEON,rho_size_entropy,higher,RANGE,7,0.14107308300905227,0.0,0.14107308300905227,0.0,3,1,3,False
REVISED_CORE9_NO_CHAMELEON,rho_size_entropy,higher,GPEC,7,0.035794762564390244,0.0,0.035794762564390244,0.0,3,3,1,False
REVISED_CORE9_NO_CHAMELEON,rho_size_pairmix,higher,MCLA,7,0.2794317020274389,0.29291780181149163,0.2794317020274389,0.29291780181149163,5,1,1,True
REVISED_CORE9_NO_CHAMELEON,rho_size_pairmix,higher,HBGF,7,0.03241957026669123,0.2936465520534161,0.03241957026669123,0.2936465520534161,5,0,2,True
