dataset,CA,Poly2,LinearPair,AggregatePower,CEHM,YACHT,RANGE,PSF-CE
Cardiotocography,35.817994091754805,35.98555153596692,35.817994091754805,35.817994091754805,26.862010153571099,34.461826800063669,35.036604627816104,35.808674691229065
Chameleon,6.452153508842656,6.4826548532170998,6.4521535088426605,6.452153508842656,6.7051466478168562,7.908324449439637,7.8754436846554627,6.4521535088426605
CiteSeer,14.625364685469725,14.625364685469725,14.625364685469725,14.625364685469725,13.651917943169767,17.330478242637522,16.303706849504593,14.625364685469719
Coauthor CS,61.398646623659403,61.398646623659403,61.398646623659403,61.398646623659403,39.220295287190361,60.411294437135851,60.387068806595998,61.313851597272397
Coauthor Physics,59.690109852918468,59.594060191070838,59.577093604591845,59.585187694649235,64.118337270138809,52.424410418876874,57.194556909122461,59.662740173873765
Cora,36.115673671306965,36.204616514994711,36.115673671306965,36.115673671306965,23.71625736485732,37.200957477630389,38.518779292129132,36.136950876947878
CoraFull,48.684938111437951,48.815430024658482,48.832185284583744,48.684938111437951,48.5383765140406,47.163600148927948,46.89003343478668,48.808600392435537
DBLP,66.989986746428386,66.868450802405405,66.868450802405405,66.868450802405405,0,22.757557581147296,56.880165672080608,67.155032551886535
Extended Yale-B,12.502269122719406,12.545176754106393,12.496030109320495,12.496030109320495,11.569924110426406,12.919046781785818,12.293592635646853,12.473399086567964
Handwritten,90.503025136802734,90.452345067310659,90.454639977357715,90.454639977357715,90.377877825689595,87.160582285339288,87.616945257351034,90.456479970377814
Human Kidney,26.690840226984264,26.773814126462447,26.773814126462447,26.690840226984264,26.457520579618794,29.640527430033242,31.390687553798376,26.849615414800386
IMDB,0.33682304271382668,0.33682304271382668,0.33682304271382668,0.33682304271382668,0,0.15816010044218667,0.23676374540553,0.33648011099122999
Isolet,4.8893699969195872,5.0995534336719492,5.0995534336719492,5.0995534336719492,3.7960786283367369,2.0056160963559697,0.61713269243335545,5.0995534336719492
LandUse-21,31.266646563174579,31.065535746763423,31.266646563174579,31.266646563174579,3.2440519451439567,35.758291775626809,36.425251102421896,31.223272368558263
Letter,39.00560200330986,38.859095114110062,38.859095114110062,39.00560200330986,38.38791453113177,36.395997743954879,37.153625219877711,38.585547894006453
Leukemia,12.531250648530328,12.531250648530328,12.531250648530328,12.531250648530328,12.531250648530328,5.4007544590889998,9.4387533778117216,12.531250648530328
Leukemia2,46.743271761603282,37.871520043924775,43.388412066281937,46.743271761603282,36.630694911863756,33.704964365936121,36.376386602571365,46.743271761603282
MFeat-pix,79.936933690381579,81.198258046717356,81.198258046717356,79.936933690381579,79.450698584102994,71.37379402763014,76.891162743642411,81.153367642172199
MSRC-v1,67.661832697964414,68.644609106792814,68.904551866792303,67.377265363880412,37.095373229351807,62.58130318295234,62.795590364070186,68.016081025242329
Movies617,9.9522278978325822,9.9522278978325822,9.9522278978325822,9.9522278978325822,0,18.301645945157183,18.377864656312624,9.990786659044538
NGs,1.9240577854226333,1.9240577854226333,1.9240577854226333,1.9240577854226333,0,13.81687736003316,15.364949346218159,1.9240577854226333
NUSWIDE-Object-2000,17.044814483624972,17.044814483624972,17.044814483624972,17.044814483624972,0,16.674080207031981,17.380321982200343,16.873379171811361
ORL,83.756650351205778,84.573715552635562,84.573715552635562,83.756650351205778,84.124221984798126,85.534162010175834,87.694239446726073,83.837658835396795
PubMed,15.885636495146194,18.734210679645482,15.885636495146194,15.885636495146194,18.492486452332138,20.50781434469847,15.90583865175676,15.885498443818499
Reuters,20.719591847661778,20.719591847661778,20.719591847661778,20.719591847661778,0,15.55004551272221,21.234048303581233,20.761171532570156
Scene15,42.071523444512643,42.071523444512643,42.071523444512643,42.218784313372609,0,39.290089703533667,41.058398891717609,42.040602294864229
Squirrel,1.0610336514197036,1.0610336514197036,1.0610336514197036,1.0610336514197036,0,1.3614932426357633,1.3359307866189267,1.0062267095205966
UMIST,60.959222526686553,60.620901103235759,60.850317671232943,61.091556404760695,60.065201483505582,58.521788920732817,58.488797593323895,60.549177768860616
USPS3568,63.770457960412131,64.630544751813972,64.630544751813972,63.918084015209956,56.624868485506575,46.371400848002715,55.194231300932849,64.658638278080772
WebKB,0.088222944156950006,0.088222944156950006,0.088222944156950006,0.088222944156950006,0,20.014545457157158,13.611783163052113,0.088222944156950006
WebKB-Cornell,8.2571645896332821,8.1207165691402459,8.1207165691402459,8.4886256661881436,5.9946798635171339,8.7676760242240466,10.099702272583267,8.4886256661881436
WebKB-Texas,3.9857208886035131,3.3737309528186703,3.3737309528186703,3.9857208886035131,0.063034933505649995,6.2704778801336625,9.1596642188768431,4.0051133182743701
WebKB-Washington,7.478179678145187,7.2348051111242544,7.2348051111242544,7.478179678145187,3.9993192257083567,9.0522252148402558,10.821127680729527,7.478179678145187
WebKB-Wisconsin,4.0266740929858402,4.0266740929858402,4.0266740929858402,4.0266740929858402,1.2919293298591665,7.8028259199645138,10.248281472472391,4.0266740929858402
Wiki,43.12598915516859,44.568444304601456,44.568444304601456,43.528050454900175,0,21.120705026963012,42.198659849345503,43.21343134664459
WikiCS,35.503960190482694,36.35995174820021,35.503960190482694,35.503960190482694,11.13329539352401,35.201545666261651,36.935485826718953,35.511322534947816
Worm Neuron,23.754238590086416,23.009646320162037,23.009646320162037,23.754238590086416,17.389569082988277,32.699537293190168,36.589126484090286,22.069259533670323
