variant,dataset,ACC,NMI,ARI,F1
PSF-CE w/o nonlinear filtering,WebKB-Wisconsin,0.31320754716981125,0.0402667409298584,0.015176993102498698,0.24836306509625775
PSF-CE w/o nonlinear filtering,Wiki,0.5059316120027914,0.4312598915516859,0.3232599127810056,0.4868382849094268
PSF-CE w/o nonlinear filtering,WikiCS,0.4295644246930461,0.3550396019048269,0.2478824626716923,0.27495213211960773
PSF-CE w/o nonlinear filtering,Worm Neuron,0.34352603917821306,0.23009646320162036,0.048759181448731294,0.26967648670301303
w/o interaction,100Leaves,0.8183333333333334,0.9239239831682132,0.6625868411660772,0.8096396874440397
w/o interaction,10X PBMC,0.723952236010302,0.74853722015779,0.6379495079952943,0.4983618095062467
w/o interaction,11_Tumors,0.5632183908045977,0.6016068137216731,0.38997171304172334,0.44872164392478675
w/o interaction,3Sources,0.418145956607495,0.16881185172457316,0.004461136667841633,0.20562668185075886
w/o interaction,ACM,0.6836363636363636,0.45714773199765046,0.41467571377468654,0.6902833162797247
w/o interaction,ALOI,0.6929012345679012,0.8064550103868844,0.279534377034469,0.7173776879858084
w/o interaction,Actor,0.2609210526315789,0.0008775698851171999,0.0010630493214675667,0.11655080878566894
w/o interaction,Amazon Computers,0.5246509598603839,0.4522082274655153,0.300061975910044,0.5276730754678266
w/o interaction,Amazon Photo,0.5913725490196078,0.540030459148087,0.3696944030404918,0.5210709522468585
w/o interaction,BBC News Sport,0.45680687471732245,0.2990739197464176,0.14119166610786305,0.4232844789713423
w/o interaction,BBC-MV,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
w/o interaction,BBCSport-MV,0.4889705882352941,0.254786142068991,0.0877308842181558,0.3456523235833356
w/o interaction,COIL100,0.523287037037037,0.7852686367060059,0.4247972486002641,0.5001012351669222
w/o interaction,COIL20,0.7002314814814815,0.8139632038767101,0.6508481095274762,0.6854103740250905
w/o interaction,Caltech101-20,0.2668343112601285,0.4015565419595268,0.1560765167573667,0.20995075423707363
w/o interaction,Caltech101-20-MV,0.48016205644034643,0.6243709995649885,0.36316343625664516,0.4484301791514191
w/o interaction,Cardiotocography,0.4084352461586704,0.35817994091754807,0.18003024238158283,0.3590134742884587
w/o interaction,Chameleon,0.3227931488801054,0.06452153508842656,0.0473192878258633,0.2713430424915679
w/o interaction,CiteSeer,0.37882447665056357,0.14625364685469724,0.15655169477170705,0.30930122918660446
w/o interaction,Coauthor CS,0.6126293205331006,0.613986466236594,0.4965352689661682,0.5678499049403043
w/o interaction,Coauthor Physics,0.7785830941543694,0.5969010985291847,0.6913257701430475,0.6815813045763998
w/o interaction,Cora,0.48375184638109303,0.36115673671306964,0.25799856448573294,0.35607788673713037
w/o interaction,CoraFull,0.3318344869398272,0.48684938111437953,0.2274716437835748,0.2406689955923537
w/o interaction,DBLP,0.8848903130391915,0.6698998674642839,0.7294935986177995,0.8792112193763121
w/o interaction,Extended Yale-B,0.09624413145539905,0.12502269122719406,0.0144244172399801,0.10189390011277533
w/o interaction,Handwritten,0.9485,0.9050302513680274,0.8905529177135296,0.9488926388411826
w/o interaction,Human Kidney,0.3522222222222222,0.26690840226984264,0.10674971442236797,0.24161062038089057
w/o interaction,IMDB,0.3548387096774193,0.003368230427138267,-0.0010326457085545915,0.3076615567049848
w/o interaction,Isolet,0.6072649572649572,0.04889369996919587,0.06016949122984721,0.5791608155147184
w/o interaction,LandUse-21,0.21571428571428566,0.31266646563174577,0.09834835369279016,0.1717414440742641
w/o interaction,Letter,0.2718,0.39005602003309864,0.13050072566722673,0.2845548692692691
w/o interaction,Leukemia,0.7083333333333334,0.1253125064853033,0.162077515013866,0.6950998185117966
w/o interaction,Leukemia2,0.601851851851852,0.46743271761603283,0.34445302044529186,0.49296730512535986
w/o interaction,MFeat-pix,0.7888333333333334,0.7993693369038158,0.7172204097790096,0.7843399659526121
w/o interaction,MSRC-v1,0.7365079365079366,0.6766183269796441,0.5920441346490172,0.7035511848284894
w/o interaction,Movies617,0.12155591572123174,0.09952227897832581,0.0068232518239419,0.0600206927804204
w/o interaction,NGs,0.208,0.019240577854226334,4.78712361580198e-05,0.0829658156750414
w/o interaction,NUSWIDE-Object-2000,0.16866666666666666,0.17044814483624973,0.044836476062084435,0.11114135998446843
w/o interaction,ORL,0.6558333333333334,0.8375665035120577,0.46763928944506533,0.6507845967461257
w/o interaction,PubMed,0.5159676083244578,0.15885636495146194,0.1119346082478836,0.4364709526463925
w/o interaction,Reuters,0.4726666666666666,0.20719591847661778,0.16861687751195156,0.21092867638921073
w/o interaction,Scene15,0.4057227796358231,0.42071523444512643,0.22869642011480354,0.39505077836919983
w/o interaction,Squirrel,0.23431391399089915,0.010610336514197035,0.004304373676860466,0.19075107632133648
w/o interaction,UMIST,0.42144927536231885,0.6095922252668655,0.30077811852000175,0.41813229317830397
w/o interaction,USPS3568,0.6744538178671858,0.6377045796041213,0.5336935120181029,0.6098457637604731
w/o interaction,WebKB,0.780209324452902,0.0008822294415695,-0.001367446150206,0.4382683057188668
w/o interaction,WebKB-Cornell,0.335042735042735,0.08257164589633283,0.022960730542831032,0.27872447042317033
w/o interaction,WebKB-Texas,0.4260249554367201,0.03985720888603513,0.03462747389785243,0.21906233285899324
w/o interaction,WebKB-Washington,0.44637681159420284,0.07478179678145187,0.05479467365053161,0.22968946559719447
w/o interaction,WebKB-Wisconsin,0.31320754716981125,0.0402667409298584,0.015176993102498698,0.24836306509625775
w/o interaction,Wiki,0.5059316120027914,0.4312598915516859,0.3232599127810056,0.4868382849094268
w/o interaction,WikiCS,0.4295644246930461,0.3550396019048269,0.2478824626716923,0.27495213211960773
w/o interaction,Worm Neuron,0.3487020226150661,0.23754238590086416,0.0505541663550035,0.2770545620383548
