dataset,method,ACC,NMI,ARI,F1
COIL20,CA,0.70023148148148151,0.81396320387671006,0.65084810952747618,0.68541037402509053
COIL20,CEHM,0.69421296296296298,0.79993120123719719,0.61969862961995548,0.6673812843030813
COIL20,LinearPair,0.69976851851851851,0.81592012026689575,0.65359737498170756,0.68494717540456307
COIL20,PSF-CE,0.70046296296296295,0.8112964880692245,0.64673652920473079,0.68467459251132334
COIL20,Poly2,0.70000000000000007,0.81729081178236351,0.65714136539299883,0.68685608385961594
COIL20,RANGE,0.72337962962962965,0.80807392037795278,0.66418389363282826,0.71437906208284974
COIL20,YACHT,0.70092592592592595,0.80592290003572986,0.64157601469867898,0.69239755311870044
Caltech101-20,AggregatePower,0.26683431126012852,0.40155654195952678,0.1560765167573667,0.20995075423707363
Caltech101-20,CA,0.26683431126012852,0.40155654195952678,0.1560765167573667,0.20995075423707363
Caltech101-20,CEHM,0.2657166806370494,0.39522761543634272,0.15111945475694202,0.20529865155575169
Caltech101-20,LinearPair,0.26082704666107848,0.39966633822691722,0.15067187765569048,0.2029965981479078
Caltech101-20,PSF-CE,0.26082704666107848,0.39952153158308928,0.15165213289448451,0.20425389338094893
Caltech101-20,Poly2,0.26082704666107848,0.39966633822691722,0.15067187765569048,0.2029965981479078
Caltech101-20,RANGE,0.26697401508801338,0.3886289885297296,0.16618345694000103,0.2200664642828255
Caltech101-20,YACHT,0.2666946074322436,0.40309122878926257,0.17278130828673946,0.19888925347253639
Caltech101-20-MV,AggregatePower,0.48016205644034643,0.62437099956498854,0.36316343625664516,0.44843017915141908
Caltech101-20-MV,CA,0.48016205644034643,0.62437099956498854,0.36316343625664516,0.44843017915141908
Caltech101-20-MV,CEHM,0.39773679798826489,0.41445571930343289,0.078158348536721545,0.12292727610909047
Caltech101-20-MV,LinearPair,0.48016205644034643,0.62437099956498854,0.36316343625664516,0.44843017915141908
Caltech101-20-MV,PSF-CE,0.48002235261246162,0.62371686887278144,0.36203361743055568,0.44836612880727689
Caltech101-20-MV,Poly2,0.48016205644034643,0.62437099956498854,0.36316343625664516,0.44843017915141908
Caltech101-20-MV,RANGE,0.36001676445934611,0.56346883778045409,0.27205661155625599,0.32572280289707684
Caltech101-20-MV,YACHT,0.35484772282760541,0.54247647226043327,0.25569847895150288,0.31709088174220001
Cardiotocography,AggregatePower,0.40843524615867038,0.35817994091754807,0.18003024238158283,0.3590134742884587
