"panel","parameter","q","lambda","dataset","pool","n","c","M","returned_k","ACC_sensitivity","NMI_sensitivity","prediction_file_sha256","ACC_formal","NMI_formal","_merge","ACC_abs_diff","NMI_abs_diff"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Caltech101-20","1","2386","20","20","20","0.25062866722548199","0.38772611584785671","170f62063f3aa6991b15c267cab7963096c6019a742ee3e40b36927f6d2f4764","0.25062866722548199","0.38772611584785671","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Caltech101-20","2","2386","20","20","20","0.27074601844090529","0.40274965528449513","0607300f8b82b931ea24a5f50cdec25024fa9955d235d8e042dc44e7879e7cf0","0.27074601844090529","0.40274965528449508","both","0","5.5511151231257827e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Chameleon","0","2277","5","20","5","0.32279314888010541","0.064521535088426604","3e756a46315e7e46c5eaede9836471e4901d9444d99116d76246aca5b3b32cf5","0.32279314888010541","0.064521535088426604","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Chameleon","1","2277","5","20","5","0.32279314888010541","0.064521535088426604","b64a9b3a1ccfe6e07c3859b2b73061cafb19f109de990e141683ddb67185a9ea","0.32279314888010541","0.064521535088426604","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Chameleon","2","2277","5","20","5","0.32279314888010541","0.064521535088426604","d4f0252b8f809714caaf1a7c7a2de4876c4bc4f84af7e525dde5772903e37e3f","0.32279314888010541","0.064521535088426604","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Iris","0","150","3","20","3","0.80666666666666664","0.61109291326669657","05016f78a07124ee286cc5aa8531e3c6d43447ad16b9626d1c9c8878d4f0f2da","0.80666666666666664","0.61109291326669657","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Iris","1","150","3","20","3","0.81999999999999995","0.64787414897292173","838283283f6438a80ab9025b04de6677a376b8c3643548669465ab5018fcc250","0.81999999999999995","0.64787414897292173","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Iris","2","150","3","20","3","0.82666666666666666","0.65255820200849846","e988e91e070145d05577b27f559e26b805721344c9dff69d64032d635e07cdfa","0.82666666666666666","0.65255820200849846","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Leukemia","0","72","2","20","2","0.70833333333333337","0.12531250648530332","c78ee4fbc3e289cd331ea7d406c93bc1c9047536c97103626b3080b5d4ea0fe0","0.70833333333333337","0.12531250648530329","both","0","2.7755575615628914e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Leukemia","1","72","2","20","2","0.70833333333333337","0.12531250648530332","55d55e191184d6868e37b0e70b949e77b40c8ea747259eaeed8d6b0feea867fc","0.70833333333333337","0.12531250648530329","both","0","2.7755575615628914e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Leukemia","2","72","2","20","2","0.70833333333333337","0.12531250648530332","967720cd74aa72cf98352958ccf08c3cc87d2addcf9477ab9e7d4ea08be91649","0.70833333333333337","0.12531250648530329","both","0","2.7755575615628914e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Leukemia2","0","72","3","20","3","0.61111111111111116","0.48905304088639101","3d67c70feda661a20d91f72953a927973b86fe5e523c1f4650f2454e7de3cada","0.61111111111111116","0.48905304088639101","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Leukemia2","1","72","3","20","3","0.58333333333333337","0.42419207107531653","263494f87dfe91b0a7cc81516752be65752f058332a29dde29a4c621cbd3bec5","0.58333333333333337","0.42419207107531648","both","0","5.5511151231257827e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Leukemia2","2","72","3","20","3","0.61111111111111116","0.48905304088639101","d1b31e581d51fe6a912edc83a1675c752f0cd91a3074ba64b9124413714de273","0.61111111111111116","0.48905304088639101","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Mushroom","0","8124","2","20","2","0.73030526834071885","0.28581544561778516","2f55604b92a2a0ca4d1b4ed4ea5b86ea5b122d5b259d912598bdb02a9583da28","0.73030526834071885","0.2858154456177851","both","0","5.5511151231257827e-17"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Mushroom","1","8124","2","20","2","0.72587395371738062","0.26063654178905671","736212fc3733d8d021b8f1a99609ab0400237a04c6fa824d859a9b0f0eb2abcf","0.72587395371738062","0.26063654178905671","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","Mushroom","2","8124","2","20","2","0.72968980797636629","0.27961395871823219","42bb6d16821c404a3f915d8c816f88ff3752d9d2ae1113967329f768257f8edd","0.72968980797636629","0.27961395871823219","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","ORL","0","400","40","20","40","0.67500000000000004","0.83514577998011785","1b018b4f2499b32fd338ca93f391c93dcc4bf49785674a4147a7cff323b60790","0.67500000000000004","0.83514577998011785","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","ORL","1","400","40","20","40","0.63749999999999996","0.84056167616346744","5fb510e6f13a4181594aecb8a874984303a83483934f7611c209292f75290e82","0.63749999999999996","0.84056167616346744","both","0","0"
"q","0.71999999999999997","0.71999999999999997","0.66500000000000004","ORL","2","400","40","20","40","0.66500000000000004","0.83942230891831837","c17aefc98317eca9c7571cc234abaa7606c68a042bd4f345a9ab6bd365ac0ddf","0.66500000000000004","0.83942230891831837","both","0","0"
