"panel","parameter","q","lambda","dataset","ACC","NMI"
"q","6.0","6.0","0.665","Amazon Photo","0.5962527233115469","0.541937122368619"
"q","6.0","6.0","0.665","BBC News Sport","0.4744459520578923","0.29453341628850954"
"q","6.0","6.0","0.665","Caltech101-20","0.2694886839899413","0.4049506206836638"
"q","6.0","6.0","0.665","Chameleon","0.3227931488801054","0.0645215350884266"
"q","6.0","6.0","0.665","Iris","0.8177777777777777","0.6371750880827056"
"q","6.0","6.0","0.665","Leukemia","0.7083333333333334","0.12531250648530332"
"q","6.0","6.0","0.665","Leukemia2","0.5925925925925927","0.44924750870548574"
"q","6.0","6.0","0.665","Mushroom","0.7295256852125389","0.27944702484938405"
"q","6.0","6.0","0.665","ORL","0.6433333333333334","0.8414337013412805"
"q","12.0","12.0","0.665","ACM","0.6844077134986226","0.45755330830503976"
"q","12.0","12.0","0.665","Amazon Photo","0.5925925925925926","0.539162591464363"
"q","12.0","12.0","0.665","BBC News Sport","0.4825870646766169","0.28277971601411117"
"q","12.0","12.0","0.665","Caltech101-20","0.27856943280245877","0.4067802481188904"
"q","12.0","12.0","0.665","Chameleon","0.3227931488801054","0.0645215350884266"
"q","12.0","12.0","0.665","Iris","0.8177777777777777","0.6371750880827056"
"q","12.0","12.0","0.665","Leukemia","0.7083333333333334","0.12531250648530332"
"q","12.0","12.0","0.665","Leukemia2","0.5925925925925927","0.44924750870548574"
"q","12.0","12.0","0.665","Mushroom","0.7295256852125389","0.27944702484938405"
"q","12.0","12.0","0.665","ORL","0.6208333333333333","0.827904405335894"
"lambda","0.1","0.72","0.1","ACM","0.6839669421487603","0.4577287060435769"
"lambda","0.1","0.72","0.1","Amazon Photo","0.5913289760348585","0.5398950496691031"
"lambda","0.1","0.72","0.1","BBC News Sport","0.45680687471732245","0.3007188416621905"
"lambda","0.1","0.72","0.1","Caltech101-20","0.2652975691533948","0.4021707203025418"
"lambda","0.1","0.72","0.1","Chameleon","0.3227931488801054","0.0645215350884266"
"lambda","0.1","0.72","0.1","Iris","0.82","0.6390424553720329"
"lambda","0.1","0.72","0.1","Leukemia","0.7083333333333334","0.12531250648530332"
"lambda","0.1","0.72","0.1","Leukemia2","0.601851851851852","0.4674327176160329"
"lambda","0.1","0.72","0.1","Mushroom","0.7286640407024455","0.27480421147927814"
"lambda","0.1","0.72","0.1","ORL","0.6558333333333334","0.8379756860843304"
"lambda","0.5","0.72","0.5","ACM","0.6846280991735537","0.45859999559827697"
"lambda","0.5","0.72","0.5","Amazon Photo","0.5912854030501089","0.5399349873573186"
"lambda","0.5","0.72","0.5","BBC News Sport","0.4577114427860696","0.29948322386371556"
"lambda","0.5","0.72","0.5","Caltech101-20","0.2673931265716681","0.4009519130379733"
"lambda","0.5","0.72","0.5","Chameleon","0.3227931488801054","0.0645215350884266"
"lambda","0.5","0.72","0.5","Iris","0.8177777777777777","0.6371750880827056"
"lambda","0.5","0.72","0.5","Leukemia","0.7083333333333334","0.12531250648530332"
"lambda","0.5","0.72","0.5","Leukemia2","0.601851851851852","0.4674327176160329"
"lambda","0.5","0.72","0.5","Mushroom","0.7286640407024455","0.27480421147927814"
"lambda","0.5","0.72","0.5","ORL","0.6549999999999999","0.8363726704948076"
"lambda","0.665","0.72","0.665","ACM","0.6846280991735537","0.4584156699714208"
"lambda","0.665","0.72","0.665","Amazon Photo","0.5912854030501089","0.539975141280013"
"lambda","0.665","0.72","0.665","BBC News Sport","0.4029850746268657","0.20849180207468362"
"lambda","0.665","0.72","0.665","Caltech101-20","0.26082704666107853","0.3995215315830893"
"lambda","0.665","0.72","0.665","Chameleon","0.3227931488801054","0.0645215350884266"
"lambda","0.665","0.72","0.665","Iris","0.8177777777777777","0.6371750880827056"
"lambda","0.665","0.72","0.665","Leukemia","0.7083333333333334","0.12531250648530332"
"lambda","0.665","0.72","0.665","Leukemia2","0.601851851851852","0.4674327176160329"
"lambda","0.665","0.72","0.665","Mushroom","0.7286230100114887","0.2753553153750247"
"lambda","0.665","0.72","0.665","ORL","0.6591666666666667","0.8383765883539679"
"lambda","1.0","0.72","1.0","ACM","0.6847382920110192","0.4584708829921375"
"lambda","1.0","0.72","1.0","Amazon Photo","0.5912854030501089","0.539975141280013"
"lambda","1.0","0.72","1.0","BBC News Sport","0.4029850746268657","0.20849180207468362"
"lambda","1.0","0.72","1.0","Caltech101-20","0.26417993853031574","0.4006870266267135"
"lambda","1.0","0.72","1.0","Chameleon","0.3227931488801054","0.0645215350884266"
"lambda","1.0","0.72","1.0","Iris","0.8177777777777777","0.6371750880827056"
"lambda","1.0","0.72","1.0","Leukemia","0.7083333333333334","0.12531250648530332"
"lambda","1.0","0.72","1.0","Leukemia2","0.601851851851852","0.4674327176160329"
"lambda","1.0","0.72","1.0","Mushroom","0.7286640407024455","0.27480421147927814"
"lambda","1.0","0.72","1.0","ORL","0.6591666666666667","0.8376410158706866"
"lambda","4.0","0.72","4.0","ACM","0.6848484848484849","0.4588163114090829"
"lambda","4.0","0.72","4.0","Amazon Photo","0.5912854030501089","0.5399336847117452"
"lambda","4.0","0.72","4.0","BBC News Sport","0.4029850746268657","0.20849180207468362"
"lambda","4.0","0.72","4.0","Caltech101-20","0.26208438111204246","0.3999306504499471"
