"panel","parameter","q","lambda","dataset","pool","n","c","M","returned_k","ACC","NMI","prediction_file_sha256"
"q","1.0","1.0","0.665","Leukemia2","1","72","3","20","3","0.5833333333333334","0.42419207107531653","1b818842a05f73b1d2b081e4e71585f2f000e39d4c4885256732a292a1779c9c"
"q","1.0","1.0","0.665","Leukemia2","2","72","3","20","3","0.6111111111111112","0.489053040886391","22c19405c6438d30410413c69b62c5ab0297825cebc7058d0936581a2b06be66"
"q","1.0","1.0","0.665","Mushroom","0","8124","2","20","2","0.7304283604135894","0.2841621339305455","c857204f74b866dc67928d03465ede01a56d4872a5cd708e83fdf8fe79db83a3"
"q","1.0","1.0","0.665","Mushroom","1","8124","2","20","2","0.7258739537173806","0.2606365417890567","df8840eaf43568382eba61e6106b0f52239d3e1f8554407dbf85237032339098"
"q","1.0","1.0","0.665","Mushroom","2","8124","2","20","2","0.7296898079763663","0.2796139587182322","53eb18eebcd171c2cf15f988163d0e7f50683a345bfd4f24a7238865bdfc2170"
"q","1.0","1.0","0.665","ORL","0","400","40","20","40","0.665","0.8329115955945778","01a8d2b508a9cfcfef16ad3ecd554d6babb730458d9b7402fc32935c44adf4d9"
"q","1.0","1.0","0.665","ORL","1","400","40","20","40","0.6375","0.8403656060232769","27a18fad17ee184125ff1cf313b2b1bdba9178e46e066ff209e0df93c15e8876"
"q","1.0","1.0","0.665","ORL","2","400","40","20","40","0.665","0.8394223089183186","14cf8ea556fa2f23386faa80f4dec54fcb646608ca8e4b7f74f3a47a409487e6"
"q","6.0","6.0","0.665","ACM","0","3025","3","20","3","0.6829752066115703","0.45318377445094077","08ee87f94706a9deb2c4224a06a5d395551c42a139b471ebf05649d2b0778e12"
"q","6.0","6.0","0.665","ACM","1","3025","3","20","3","0.6809917355371901","0.4564620795427711","2abcf6929345bde9bdc1a94a4bf6408fdb4beed2ce3d25123a1940c63d0bf0ed"
"q","6.0","6.0","0.665","ACM","2","3025","3","20","3","0.6879338842975207","0.46262671711898473","3cf8447aab0a076ec0edfe33b44f842422ba374b40cf4d93f25ccff8b3d06fce"
"q","6.0","6.0","0.665","Amazon Photo","0","7650","8","20","8","0.5973856209150327","0.5416681519731484","33f2d726424383829aeeba4045a1fceff74cfc9b61d2feaf3f186d09e615c33d"
"q","6.0","6.0","0.665","Amazon Photo","1","7650","8","20","8","0.596078431372549","0.54288557782382","f77baa3b43822ef0f288b2a77e60cdc009501cfce2b3b08aed95d2eb8925dc8b"
"q","6.0","6.0","0.665","Amazon Photo","2","7650","8","20","8","0.5952941176470589","0.5412576373088884","86578b2efcd45283eed782e60f58d2be91814bff1201643eb64f9f0ad8c58a17"
"q","6.0","6.0","0.665","BBC News Sport","0","737","5","20","5","0.41383989145183175","0.2289865582727662","cbf01fdbac336d07313e86160f3096bdd24ae05b835f873003fcf48433cf51e7"
"q","6.0","6.0","0.665","BBC News Sport","1","737","5","20","5","0.5169606512890095","0.3127527750912332","c76823f9a77b76eba9ddd9e5ca916ff674676f5f2ba0a617461cf36197fc16fa"
"q","6.0","6.0","0.665","BBC News Sport","2","737","5","20","5","0.4925373134328358","0.3418609155015291","2286d96dd7ec9490384e1b6adb784eababb7c523eda49430f203cf1f338a402f"
"q","6.0","6.0","0.665","Caltech101-20","0","2386","20","20","20","0.27703269069572506","0.4159159510798983","2246bf85ba7779acb305235bc29e899bd22c11d899221d405c3ab15525bc4485"
"q","6.0","6.0","0.665","Caltech101-20","1","2386","20","20","20","0.26026823134953897","0.39637036893403793","50dc9a09cf72cf236fe73a085a24a73e704336f8e0c49a3f49f0f1b657e3b880"
"q","6.0","6.0","0.665","Caltech101-20","2","2386","20","20","20","0.27116512992455993","0.40256554203705525","e6e5fefad44d566dd95fbb0eaf6c14a8a960903e7167301af2739c4bc1ea4855"
"q","6.0","6.0","0.665","Chameleon","0","2277","5","20","5","0.3227931488801054","0.0645215350884266","658defcafc302148d74a03a64ff9c8a3b44c45e412b7fe8d00087c001510d0ea"
"q","6.0","6.0","0.665","Chameleon","1","2277","5","20","5","0.3227931488801054","0.0645215350884266","81bd9f77dd0f9e35033acb56a6b1beef08467d21768da06f331d2f093771165d"
"q","6.0","6.0","0.665","Chameleon","2","2277","5","20","5","0.3227931488801054","0.0645215350884266","c5f85d4faaddcc51ed6ac1d4fbf6d9375136c96274e9fddffa32e26c889e75ec"
"q","6.0","6.0","0.665","Iris","0","150","3","20","3","0.8066666666666666","0.6110929132666966","e1e3b4d2663435b1fe2215cf4b69a7db08d81c64898b699f4f0c6880037d3e69"
"q","6.0","6.0","0.665","Iris","1","150","3","20","3","0.82","0.6478741489729217","75577eca2cd44390521d831cb0c2704b452c27d30b067e4587abb2c8e5166b2f"
"q","6.0","6.0","0.665","Iris","2","150","3","20","3","0.8266666666666667","0.6525582020084985","1395dcd7b53477271c744c75359dc9c4d2741401713fdc7515f77cf8722d3486"
"q","6.0","6.0","0.665","Leukemia","0","72","2","20","2","0.7083333333333334","0.12531250648530332","4f705cfda35daa419349296a05e22056ce1d9713dfa93f199c3880664516bb2a"
"q","6.0","6.0","0.665","Leukemia","1","72","2","20","2","0.7083333333333334","0.12531250648530332","20efd54c6d6fa3142cdc41e6299a06017218ed574a209748454527a9a6f5fbed"
"q","6.0","6.0","0.665","Leukemia","2","72","2","20","2","0.7083333333333334","0.12531250648530332","a221f54a19b546647884bf88976581c4c7d935a4709dbe51a86dca74348c4f79"
"q","6.0","6.0","0.665","Leukemia2","0","72","3","20","3","0.6111111111111112","0.489053040886391","4a6b97ec8d3bc91c887f43124222fe7a5592e30bfc308d97b4616a2c832b9318"
"q","6.0","6.0","0.665","Leukemia2","1","72","3","20","3","0.5555555555555556","0.3696364443436753","1d22c3487040a7becad6a66088d115e9a671daf9f8a290721dea68f30c9f3665"
"q","6.0","6.0","0.665","Leukemia2","2","72","3","20","3","0.6111111111111112","0.489053040886391","35e4ca514174f5b000fef73c13c5ee5df6a3e7dee46ea7abf76c8c536dd934ea"
"q","6.0","6.0","0.665","Mushroom","0","8124","2","20","2","0.7304283604135894","0.2841621339305455","b99f9edaef124acff4043a5f0804ccd7fd82bbc6eca6d5d629701c6be0912efc"
"q","6.0","6.0","0.665","Mushroom","1","8124","2","20","2","0.7284588872476613","0.2745649818993745","6ee9c7509f1328db72da09076f8788027806e1bfa55011b17ff48a10288dc9ed"
"q","6.0","6.0","0.665","Mushroom","2","8124","2","20","2","0.7296898079763663","0.2796139587182322","886e933d8746ee36cb71722110732a043711114e299bc96da79c3fafd155c4a5"
"q","6.0","6.0","0.665","ORL","0","400","40","20","40","0.625","0.8338171363419202","43949df0381fd6016e7098a12fe36b33a6eccd49829aace499e6c230b95e57d5"
"q","6.0","6.0","0.665","ORL","1","400","40","20","40","0.645","0.8494863724138539","7c40f61d3703b326a21e4a0ce93eadb2d1be96dc9e5cb635cd42bacf7a9681a6"
"q","6.0","6.0","0.665","ORL","2","400","40","20","40","0.66","0.840997595268067","7f7515b0337e12422b1e97a6e33251adb80383b76cfec7aa492305afe8d11998"
"q","12.0","12.0","0.665","ACM","0","3025","3","20","3","0.6833057851239669","0.4539222920338419","5b2fbdb045328e58b8f66097cbed432b3bf3a7ee2516b391fbaae2d6276de993"
"q","12.0","12.0","0.665","ACM","1","3025","3","20","3","0.6816528925619835","0.4553284738007702","e33075196abf52bd62ec381997cf967889ad874f31d2d55e094e26864135a1ce"
"q","12.0","12.0","0.665","ACM","2","3025","3","20","3","0.6882644628099174","0.46340915908050717","42b38c6544f94e7cba0de09267d8561e0740bed0a1b39b3afdd6be0a4cf64ec0"
"q","12.0","12.0","0.665","Amazon Photo","0","7650","8","20","8","0.5938562091503268","0.5389513823345474","897ccf611a0b3116c070177cee62f1f8779169d7435b85532584cc3de95cea35"
"q","12.0","12.0","0.665","Amazon Photo","1","7650","8","20","8","0.5938562091503268","0.5409779049926243","41522da5d9e5199647691252527aaf1adf4f97e234bf260b1b8a6b867f514410"
"q","12.0","12.0","0.665","Amazon Photo","2","7650","8","20","8","0.5900653594771241","0.5375584870659172","77e799552cd521bb5706f6f393477677382671dd81d7c78c7dd88e322218a93d"
"q","12.0","12.0","0.665","BBC News Sport","0","737","5","20","5","0.451831750339213","0.22755872291064663","8a5d45b8e49122069d521d6fb97b8b6e6b57fcb9b0d7963fdef5f558429eea2d"
"q","12.0","12.0","0.665","BBC News Sport","1","737","5","20","5","0.47218453188602444","0.263011104451099","08b0b0944362406cda85f8d208299c4f70e07095250e4338c1a1bd65e5155cd9"
"q","12.0","12.0","0.665","BBC News Sport","2","737","5","20","5","0.5237449118046132","0.3577693206805879","8061191ae5f07bbeb2ef4acc1576b5ff620302ad1eabeee43ac61ad451256cdd"
"q","12.0","12.0","0.665","Caltech101-20","0","2386","20","20","20","0.27912824811399833","0.4058808315530884","5c03bb1b5227e04cdd98ecd6f3ed2dc94f960772603ac8a8cd3a0798f1c5588f"
"q","12.0","12.0","0.665","Caltech101-20","1","2386","20","20","20","0.26110645431684826","0.40014026017224125","449d74b60c2b714cae7bf27c85f6caf1cbd4cd19317ffa3da726dc94b8909050"
"q","12.0","12.0","0.665","Caltech101-20","2","2386","20","20","20","0.2954735959765298","0.4143196526313415","eedada030c2d2b35ea7e73e5364a715a693746451334f061c307fed378a8430d"
"q","12.0","12.0","0.665","Chameleon","0","2277","5","20","5","0.3227931488801054","0.0645215350884266","d107840e02b77100ada0408944dbf761bc2314aca11bab7c31b48bd346065c9e"
"q","12.0","12.0","0.665","Chameleon","1","2277","5","20","5","0.3227931488801054","0.0645215350884266","87098e0f0b23bed0a0f5aa405075d37198c72a7b3bf9ae3d2c44e5c28bc50bc6"
"q","12.0","12.0","0.665","Chameleon","2","2277","5","20","5","0.3227931488801054","0.0645215350884266","642e5585ebd96c9bbbb6520b6cf3b13f1e8f01b7fbf07c72de84f3e290dde099"
"q","12.0","12.0","0.665","Iris","0","150","3","20","3","0.8066666666666666","0.6110929132666966","2a8ab0c864603f25101bbb7332158b214318cdb16180d618b2303013cc5392f8"
"q","12.0","12.0","0.665","Iris","1","150","3","20","3","0.82","0.6478741489729217","33b9a19ff4241f243aaaffed96e9da129b8251f75aad55df2ff493d87d47712f"
"q","12.0","12.0","0.665","Iris","2","150","3","20","3","0.8266666666666667","0.6525582020084985","d6ad966bcd8e8872c5443ca5c1f4024565d8ed76d483ee7cd70ca7a2cd345124"
"q","12.0","12.0","0.665","Leukemia","0","72","2","20","2","0.7083333333333334","0.12531250648530332","91885dba063bb7a41cf5ddf42903fae107ce7fb3e20a248d5d88ed118bcc3f70"
