dataset,pool,variant,method,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,status
NGs,2,w/o interaction,CA,500,5,20,0.208,0.019246563491445,3.690568721115807e-05,0.0829908200904124,0.0865523000102257,ok
NUSWIDE-Object-2000,0,w/o interaction,CA,2000,31,20,0.177,0.1730903136179807,0.0535947788500253,0.1079206258688434,1.6591015000012703,ok
NUSWIDE-Object-2000,1,w/o interaction,CA,2000,31,20,0.17,0.1741801566023067,0.042735002422674,0.1098904162179629,1.603958200008492,ok
ORL,0,w/o interaction,CA,400,40,20,0.665,0.8329115955945778,0.466296594916904,0.6648769125653139,0.5216722999903141,ok
Letter,0,w/o interaction,CA,20000,26,20,0.2634,0.3922029470804289,0.1280349171239434,0.277959652538655,3.5266510999936145,ok
ORL,1,w/o interaction,CA,400,40,20,0.6375,0.8403656060232769,0.4598281092600895,0.6308756795996603,0.4877630000119097,ok
ORL,2,w/o interaction,CA,400,40,20,0.665,0.8394223089183186,0.4767931641582025,0.6566011980734027,0.5034235000057379,ok
Letter,1,w/o interaction,CA,20000,26,20,0.27015,0.3891004062067152,0.1282154361817404,0.2812296930570743,5.339691100001801,ok
NUSWIDE-Object-2000,2,w/o interaction,CA,2000,31,20,0.159,0.1640739642884618,0.038179646913554,0.115613037866599,1.582874499988975,ok
PubMed,0,w/o interaction,CA,19717,3,20,0.5157985494750723,0.1589690154431408,0.1119027970631092,0.4363797161256963,0.3901292999944417,ok
Reuters,0,w/o interaction,CA,1500,6,20,0.4733333333333333,0.1799425933741868,0.179707478885076,0.2069656717449552,0.2166730000026291,ok
Reuters,1,w/o interaction,CA,1500,6,20,0.4806666666666667,0.219467866316778,0.1800722397577743,0.2146756901213607,0.2240815999975893,ok
PubMed,1,w/o interaction,CA,19717,3,20,0.5161535730587817,0.1587019665842166,0.1119831862672555,0.4365827775424343,0.3535835000075167,ok
PubMed,2,w/o interaction,CA,19717,3,20,0.5159507024395192,0.1588981128270284,0.1119178414132861,0.436450364271047,0.3942650999961188,ok
Reuters,2,w/o interaction,CA,1500,6,20,0.464,0.2221772957388885,0.1460709138930044,0.2111446673013163,0.2228181999962544,ok
Squirrel,0,w/o interaction,CA,5201,5,20,0.2338011920784464,0.0103814295287612,0.0041764317731287,0.1904557016345505,0.2840890999941621,ok
Squirrel,1,w/o interaction,CA,5201,5,20,0.2339934627956162,0.0106412565199983,0.0042744411268623,0.190614139962541,0.2350027000065893,ok
Squirrel,2,w/o interaction,CA,5201,5,20,0.2351470870986348,0.0108083234938316,0.0044622481305904,0.1911833873669179,0.2252240999951027,ok
Scene15,0,w/o interaction,CA,4485,15,20,0.4049052396878483,0.4178312001558005,0.2266887951256313,0.4029077100785779,1.2842908000020543,ok
UMIST,0,w/o interaction,CA,575,20,20,0.4208695652173913,0.6130150374409099,0.3106924055036838,0.4038121336930564,0.3022023000085028,ok
Scene15,2,w/o interaction,CA,4485,15,20,0.4122630992196209,0.4223996129155638,0.2269486280275637,0.4015932591787192,1.3266962000052445,ok
Scene15,1,w/o interaction,CA,4485,15,20,0.4,0.4219148902640151,0.2324518371912157,0.3806513658503023,1.2935250000009546,ok
UMIST,1,w/o interaction,CA,575,20,20,0.408695652173913,0.5925573556405034,0.277258650330543,0.4140723018744293,0.3029901999980211,ok
UMIST,2,w/o interaction,CA,575,20,20,0.4347826086956521,0.6232042827191833,0.3143832997257785,0.4365124439674262,0.2680589999945368,ok
USPS3568,0,w/o interaction,CA,3082,4,20,0.6745619727449708,0.6484801886410382,0.5361017782709967,0.6111770647711269,0.2008149000030243,ok
USPS3568,1,w/o interaction,CA,3082,4,20,0.673264114211551,0.6343884956642671,0.5298365020722546,0.6095902462727341,0.2101009999896632,ok
