dataset,pool,variant,method,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,status
WebKB,0,w/o interaction,CA,1051,2,20,0.780209324452902,0.0008822294415695,-0.001367446150206,0.4382683057188669,0.0412355000007664,ok
WebKB,1,w/o interaction,CA,1051,2,20,0.780209324452902,0.0008822294415695,-0.001367446150206,0.4382683057188669,0.0528419999900506,ok
WebKB,2,w/o interaction,CA,1051,2,20,0.780209324452902,0.0008822294415695,-0.001367446150206,0.4382683057188669,0.046077699997113,ok
WebKB-Cornell,0,w/o interaction,CA,195,5,20,0.3333333333333333,0.0870141248389535,0.0322586872244574,0.2863138910346196,0.058581299992511,ok
WebKB-Cornell,1,w/o interaction,CA,195,5,20,0.3230769230769231,0.0771088652926299,0.0211522706281575,0.2795075915127464,0.0703782999917166,ok
WebKB-Cornell,2,w/o interaction,CA,195,5,20,0.3487179487179487,0.0835919475574151,0.0154712337758782,0.2703519287221449,0.0729781999980332,ok
WebKB-Texas,0,w/o interaction,CA,187,5,20,0.4224598930481283,0.069384642276742,0.086509792992765,0.2579310344827586,0.0618697999889263,ok
WebKB-Texas,1,w/o interaction,CA,187,5,20,0.4224598930481283,0.0202293328851901,0.0035762861149029,0.1973695172077743,0.0580342000030214,ok
WebKB-Texas,2,w/o interaction,CA,187,5,20,0.4331550802139037,0.0299576514961733,0.0137963425858894,0.2018864468864468,0.0711393000092357,ok
Letter,2,w/o interaction,CA,20000,26,20,0.28185,0.3888647068121517,0.1352518236959964,0.294475262212078,7.589177899993956,ok
USPS3568,2,w/o interaction,CA,3082,4,20,0.6755353666450357,0.6302450545070586,0.5351422557110571,0.6087699802375581,0.2045679000002565,ok
WebKB-Washington,0,w/o interaction,CA,230,5,20,0.4434782608695652,0.0755627307399367,0.0474540009278283,0.2230364420272112,0.0707392000040272,ok
WebKB-Washington,1,w/o interaction,CA,230,5,20,0.4434782608695652,0.0727087939830329,0.0536300048057902,0.2293860771622039,0.049282599997241,ok
WebKB-Washington,2,w/o interaction,CA,230,5,20,0.4521739130434782,0.076073865621386,0.0633000152179763,0.2366458776021683,0.0623732000094605,ok
WebKB-Wisconsin,0,w/o interaction,CA,265,5,20,0.3094339622641509,0.0460061959217876,0.0171117292639163,0.2551664951230785,0.0799245000089285,ok
WebKB-Wisconsin,1,w/o interaction,CA,265,5,20,0.3245283018867924,0.038757879895775,0.0133881116302729,0.263502902030292,0.0807912000018404,ok
WebKB-Wisconsin,2,w/o interaction,CA,265,5,20,0.3056603773584905,0.0360361469720126,0.0150311384133069,0.2264197981354028,0.080408299996634,ok
Wiki,1,w/o interaction,CA,2866,10,20,0.5237264480111654,0.4341269840571107,0.3197451094241928,0.5091537073961115,0.5235214999993332,ok
Wiki,0,w/o interaction,CA,2866,10,20,0.5118632240055827,0.4391689152051974,0.3387025056712885,0.4760948303272048,0.506731999994372,ok
Wiki,2,w/o interaction,CA,2866,10,20,0.4822051639916259,0.4204837753927496,0.3113321232475354,0.4752663170049642,0.5314904999977443,ok
Worm Neuron,0,w/o interaction,CA,4186,10,20,0.3547539417104634,0.2623782797038145,0.0653897879069009,0.2882012580330901,0.3353703000029782,ok
Worm Neuron,1,w/o interaction,CA,4186,10,20,0.356426182513139,0.2560886647814282,0.0593553595583871,0.2865588895846476,0.3307416000025114,ok
WikiCS,1,w/o interaction,CA,11701,10,20,0.4272284420135031,0.3552948072270577,0.2538989954348974,0.2841948259567787,0.9480992000026164,ok
WikiCS,0,w/o interaction,CA,11701,10,20,0.4594479104350055,0.3714912457279331,0.2558496340803024,0.3045054340147227,1.106145400000969,ok
Worm Neuron,2,w/o interaction,CA,4186,10,20,0.3349259436215958,0.1941602132173497,0.0269173515997225,0.2564035384973267,0.4105377999949269,ok
WikiCS,2,w/o interaction,CA,11701,10,20,0.4020169216306298,0.3383327527594899,0.2338987584998771,0.2361561363873218,1.0032358000025852,ok
CoraFull,1,w/o interaction,CA,19793,70,20,0.3270853331986055,0.4830902500421097,0.2196611409764715,0.2383942362367912,38.95233849999204,ok
CoraFull,0,w/o interaction,CA,19793,70,20,0.3317334411155459,0.4888508393331522,0.2287773425019237,0.2377441283572109,39.97073499999533,ok
CoraFull,2,w/o interaction,CA,19793,70,20,0.3366846865053302,0.4886070539678767,0.2339764478723292,0.245868622183059,31.729828700001235,ok
100Leaves,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,1600,100,20,0.8325,0.9213136833960913,0.63872325344547,0.830025123046459,3.5158876000059536,ok
100Leaves,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,1600,100,20,0.8,0.9206201856854541,0.6356637735607239,0.784038821135885,4.380081199997221,ok
100Leaves,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,1600,100,20,0.8225,0.9298380804230945,0.7133734964920379,0.814855118149775,3.5365225999994436,ok
10X PBMC,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,4271,8,20,0.7424490751580426,0.7569520411157957,0.6395566544365153,0.5619761647658187,0.2750956999952905,ok
10X PBMC,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,4271,8,20,0.7173963942870523,0.740645052997671,0.629163857434528,0.4452508563399037,0.24233799999637995,ok
10X PBMC,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,4271,8,20,0.7120112385858113,0.7480145663599032,0.6451280121148394,0.4878584074130178,0.19953299999178853,ok
11_Tumors,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,174,11,20,0.5402298850574713,0.594343388947255,0.37625200403436543,0.4321958848422362,0.10896230000071228,ok
11_Tumors,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,174,11,20,0.5632183908045977,0.595249034315122,0.37769173862950717,0.44984127199769885,0.10659870000381488,ok
11_Tumors,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,174,11,20,0.5862068965517241,0.6152280179026425,0.41597139646129755,0.46412777493442525,0.08353490001172759,ok
3Sources,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,169,6,20,0.40828402366863903,0.17726457577349483,0.0028995941058213154,0.20142309797482208,0.06870459999481682,ok
3Sources,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,169,6,20,0.4319526627218935,0.17378939266358248,0.013331221233781713,0.23907966632212463,0.0679865999991307,ok
3Sources,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,169,6,20,0.41420118343195267,0.15538158673664232,-0.0028474053360781717,0.17637728125533006,0.06055429999832995,ok
ACM,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,3025,3,20,0.6829752066115703,0.45318377445094077,0.4121622719497231,0.6897876511544193,0.08084159999270923,ok
ACM,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,3025,3,20,0.6813223140495868,0.4566254992741328,0.4116695499606394,0.6883559978928658,0.07034069999644998,ok
ACM,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,3025,3,20,0.6866115702479338,0.46163392226787797,0.42019531941369703,0.692706299791889,0.07701690000249073,ok
ALOI,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,10800,100,20,0.6946296296296296,0.8094160687542088,0.3099550594520877,0.7132327552264465,27.922678900009487,ok
ALOI,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,10800,100,20,0.6951851851851852,0.8028280374871037,0.2731442802313872,0.7238061464599507,30.104066999992938,ok
ALOI,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,10800,100,20,0.6888888888888889,0.8071209249193406,0.25550379141993207,0.7150941622710283,30.89027979999082,ok
Actor,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7600,5,20,0.26092105263157894,0.0008765542957394089,0.0010622767247840008,0.11651627159088192,0.188107999987551,ok
Actor,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7600,5,20,0.26092105263157894,0.0008788946638479961,0.0010406981569974054,0.11662321873004969,0.22927270000218414,ok
Actor,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7600,5,20,0.26092105263157894,0.0008772606957643117,0.0010861730826213297,0.1165129360360753,0.22698200000741053,ok
Amazon Computers,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,13752,10,20,0.5363583478766725,0.4608807666253677,0.3132151587452422,0.5331743973205031,1.1909892999974545,ok
Amazon Computers,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,13752,10,20,0.5170157068062827,0.45001893181700287,0.29533288171193023,0.5245782521087636,1.319719700011774,ok
Amazon Computers,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,13752,10,20,0.5205788248981966,0.4457249839541755,0.29163788727295975,0.5252665769742129,1.7186824999953387,ok
Amazon Photo,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7650,8,20,0.5922875816993464,0.5398441715495762,0.36949060229286484,0.5216020248703815,0.5208582000050228,ok
Amazon Photo,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7650,8,20,0.5916339869281045,0.5408217254596505,0.37047518330162915,0.5217184284529022,0.37369729999045376,ok
Amazon Photo,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7650,8,20,0.5901960784313726,0.5394254804350345,0.36911742352698146,0.5198924034172916,0.39022849999309983,ok
BBC News Sport,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,737,5,20,0.37449118046132973,0.18967445429725954,0.05094200232211933,0.31916291414646086,0.07897529999900144,ok
BBC News Sport,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,737,5,20,0.4355495251017639,0.2667994590857898,0.083255310414426,0.4064837862727174,0.07703020000190008,ok
BBC News Sport,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,737,5,20,0.5332428765264586,0.32723512445812825,0.18441578703673228,0.4966709616530672,0.08787310001207516,ok
BBC-MV,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,685,5,20,0.32992700729927005,0.010685400113313715,-0.0006932623473820635,0.10590533826749035,0.08488210001087282,ok
BBC-MV,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,685,5,20,0.32992700729927005,0.015401769711937381,0.0027410570017182877,0.11887055915971581,0.07017869999981485,ok
BBC-MV,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,685,5,20,0.33138686131386863,0.01640568162771344,0.003470203934912134,0.11940480257076276,0.08899299999757204,ok
BBCSport-MV,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,544,5,20,0.4944852941176471,0.2607852314802768,0.09038206443561804,0.3526399328434481,0.0698605000070529,ok
BBCSport-MV,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,544,5,20,0.48713235294117646,0.24876985318100764,0.08267901869072485,0.3465725185789578,0.05880359999719076,ok
BBCSport-MV,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,544,5,20,0.4852941176470588,0.25480334154568857,0.09013156952812464,0.3377445193276009,0.09907299999031238,ok
COIL100,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7200,100,20,0.5166666666666667,0.787651989442337,0.43517194933302655,0.49591406261703486,15.582682399995974,ok
COIL100,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7200,100,20,0.5269444444444444,0.7810616153910576,0.4057125325778142,0.5036591193070207,17.656365700007882,ok
COIL100,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,7200,100,20,0.52625,0.7870923052846232,0.43350726388995164,0.5007305235767112,18.445571000003838,ok
COIL20,0,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,1440,20,20,0.6798611111111111,0.8122435416874325,0.6456838827346848,0.6625780051413829,0.256854299994302,ok
COIL20,1,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,1440,20,20,0.7236111111111111,0.8223975978323744,0.6754377997643961,0.7114904698464013,0.30235340000945143,ok
COIL20,2,PSF-CE w/o nonlinear filtering,PSF-CE q=1 fixed lambda,1440,20,20,0.6972222222222222,0.8072484721103235,0.6314226460833477,0.6821626470874873,0.3176464999996824,ok
