dataset,pool,group,task_family,split,source_id,method,params,status,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,spectral_seconds,objective,rounding_objective,eig_max,eig_min_topc,commutator_ratio,interaction_scale,solver,rounding,sweeps,moves,history_json,rounding_candidates_json,skip_reason
MFeat-pix,2,BKCC_V2,,formal,,CA,{},ok,2000,10,20,0.7485,0.7982717982455864,0.6973023971294082,0.7398872104719737,0.18641129999014083,0.022985299990978092,,8.187144463760916,0.9999999999999999,0.6998776085385259,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 8.11308315512767, ""kmeans_norm"": 8.167523245989333, ""kmeans_raw"": 8.187144463760916}",
MFeat-pix,2,BKCC_V2,,formal,,LinearPair,"{""lambda"": 3.0}",ok,2000,10,20,0.7515,0.800494570888913,0.7023605657190882,0.7428866609627318,0.19602670001040678,0.023634600001969375,,33.86359223592971,4.945675711241804,2.454286122467233,1.1257003601462273e-16,1.4183906040396406,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 32.16661612698967, ""kmeans_norm"": 33.82748821830992, ""kmeans_raw"": 33.86359223592971}",
MFeat-pix,2,BKCC_V2,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,2000,10,20,0.751,0.7995136531451608,0.7014719881497337,0.7422064123202337,0.2061052000062773,0.023009700002148747,,13.856918463076353,1.8369227163341115,1.0626408613511702,0.0007506946608825995,1.436199611717265,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 13.568082217511652, ""kmeans_norm"": 13.839349944186184, ""kmeans_raw"": 13.856918463076353}",
MFeat-pix,2,BKCC_V2,,formal,,Poly2,"{""eta"": 8.0}",ok,2000,10,20,0.7515,0.800494570888913,0.7023605657190882,0.7428866609627318,0.19675610000558663,0.023719899996649474,,56.91850141891005,8.4596804538329,4.129226556950797,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 54.71870554170335, ""kmeans_norm"": 56.85813382283385, ""kmeans_raw"": 56.91850141891005}",
MSRC-v1,1,TEXT_MV,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,210,7,20,0.7380952380952381,0.6694724557164371,0.6061965455837331,0.6992395766336409,0.07464770000660792,0.001764600005117245,,2.916585199536201,1.3897452360327145,0.04335156568425165,,,spectral,kmeans_norm,0,0,[],"{""cluster_qr"": 2.909678651824899, ""kmeans_norm"": 2.916585199536201, ""kmeans_raw"": 2.915339802098121}",
MSRC-v1,1,TEXT_MV,,formal,,CA,{},ok,210,7,20,0.7380952380952381,0.6780094757389566,0.6027601324225382,0.6940381919679102,0.0648263000039151,0.0018291000014869496,,3.5120896045312535,1.000000000000001,0.38283583018134065,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 3.4781788614109317, ""kmeans_norm"": 3.491850736748019, ""kmeans_raw"": 3.5120896045312535}",
MSRC-v1,1,TEXT_MV,,formal,,LinearPair,"{""lambda"": 3.0}",ok,210,7,20,0.7476190476190476,0.7000181270163408,0.6217098250159896,0.7027469178020768,0.06785270001273602,0.0017911000031745061,,11.60365716912052,3.6803774063644195,1.0042758299804313,1.4475968258229093e-16,2.200328743018476,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 8.366934057194054, ""kmeans_norm"": 11.060794196696778, ""kmeans_raw"": 11.60365716912052}",
MSRC-v1,1,TEXT_MV,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,210,7,20,0.7380952380952381,0.6780094757389568,0.6027601324225382,0.6940381919679102,0.10809880000306293,0.002118699994753115,,5.306762712520436,1.3260679764387848,0.5908597105455914,0.0040474734721266045,2.2459116879416623,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.17070272138977, ""kmeans_norm"": 5.276009968802956, ""kmeans_raw"": 5.306762712520436}",
MSRC-v1,1,TEXT_MV,,formal,,Poly2,"{""eta"": 8.0}",ok,210,7,20,0.7476190476190476,0.7000181270163408,0.6217098250159896,0.7027469178020768,0.11232939999899827,0.002296799997566268,,13.838235899746033,4.40704576250823,1.2398410143411809,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 9.786512927806186, ""kmeans_norm"": 13.184273846387615, ""kmeans_raw"": 13.838235899746033}",
MSRC-v1,2,TEXT_MV,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,210,7,20,0.7428571428571429,0.6744866496152505,0.5828475770396693,0.7316711807584115,0.12189290000242181,0.0025252000050386414,,2.9663705106664273,1.3819214744630024,0.016088502939726558,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 2.599734060854974, ""kmeans_norm"": 2.940570116722981, ""kmeans_raw"": 2.9663705106664273}",
MSRC-v1,2,TEXT_MV,,formal,,CA,{},ok,210,7,20,0.7428571428571429,0.6744866496152505,0.5828475770396693,0.7316711807584115,0.12038290000054985,0.0028811999945901334,,3.4995581011473305,1.0000000000000007,0.3313576221025598,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 3.3684312189384498, ""kmeans_norm"": 3.4756680928931236, ""kmeans_raw"": 3.4995581011473305}",
